"Label (Grouping)","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Occupied housing units!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Percent occupied housing units!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Owner-occupied housing units!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Percent owner-occupied housing units!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Renter-occupied housing units!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Percent renter-occupied housing units!!Estimate","Austin-Round Rock-San Marcos, TX Metro Area!!Occupied housing units!!Estimate","Austin-Round Rock-San Marcos, TX Metro Area!!Percent occupied housing units!!Estimate","Austin-Round Rock-San Marcos, TX Metro Area!!Owner-occupied housing units!!Estimate","Austin-Round Rock-San Marcos, TX Metro Area!!Percent owner-occupied housing units!!Estimate","Austin-Round Rock-San Marcos, TX Metro Area!!Renter-occupied housing units!!Estimate","Austin-Round Rock-San Marcos, TX Metro Area!!Percent renter-occupied housing units!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Occupied housing units!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Percent occupied housing units!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Owner-occupied housing units!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Percent owner-occupied housing units!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Renter-occupied housing units!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Percent renter-occupied housing units!!Estimate","Charlotte-Concord-Gastonia, NC-SC Metro Area!!Occupied housing units!!Estimate","Charlotte-Concord-Gastonia, NC-SC Metro Area!!Percent occupied housing units!!Estimate","Charlotte-Concord-Gastonia, NC-SC Metro Area!!Owner-occupied housing units!!Estimate","Charlotte-Concord-Gastonia, NC-SC Metro Area!!Percent owner-occupied housing units!!Estimate","Charlotte-Concord-Gastonia, NC-SC Metro Area!!Renter-occupied housing units!!Estimate","Charlotte-Concord-Gastonia, NC-SC Metro Area!!Percent renter-occupied housing units!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Occupied housing units!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Percent occupied housing units!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Owner-occupied housing units!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Percent owner-occupied housing units!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Renter-occupied housing units!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Percent renter-occupied housing units!!Estimate","Denver-Aurora-Centennial, CO Metro Area!!Occupied housing units!!Estimate","Denver-Aurora-Centennial, CO Metro Area!!Percent occupied housing units!!Estimate","Denver-Aurora-Centennial, CO Metro Area!!Owner-occupied housing units!!Estimate","Denver-Aurora-Centennial, CO Metro Area!!Percent owner-occupied housing units!!Estimate","Denver-Aurora-Centennial, CO Metro Area!!Renter-occupied housing units!!Estimate","Denver-Aurora-Centennial, CO Metro Area!!Percent renter-occupied housing units!!Estimate","Houston-Pasadena-The Woodlands, TX Metro Area!!Occupied housing units!!Estimate","Houston-Pasadena-The Woodlands, TX Metro Area!!Percent occupied housing units!!Estimate","Houston-Pasadena-The Woodlands, TX Metro Area!!Owner-occupied housing units!!Estimate","Houston-Pasadena-The Woodlands, TX Metro Area!!Percent owner-occupied housing units!!Estimate","Houston-Pasadena-The Woodlands, TX Metro Area!!Renter-occupied housing units!!Estimate","Houston-Pasadena-The Woodlands, TX Metro Area!!Percent renter-occupied housing units!!Estimate","Jacksonville, FL Metro Area!!Occupied housing units!!Estimate","Jacksonville, FL Metro Area!!Percent occupied housing units!!Estimate","Jacksonville, FL Metro Area!!Owner-occupied housing units!!Estimate","Jacksonville, FL Metro Area!!Percent owner-occupied housing units!!Estimate","Jacksonville, FL Metro Area!!Renter-occupied housing units!!Estimate","Jacksonville, FL Metro Area!!Percent renter-occupied housing units!!Estimate","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Occupied housing units!!Estimate","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Percent occupied housing units!!Estimate","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Owner-occupied housing units!!Estimate","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Percent owner-occupied housing units!!Estimate","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Renter-occupied housing units!!Estimate","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Percent renter-occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Percent occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Owner-occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Percent owner-occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Renter-occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Percent renter-occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Percent occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Owner-occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Percent owner-occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Renter-occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Percent renter-occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Percent occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Owner-occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Percent owner-occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Renter-occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Percent renter-occupied housing units!!Estimate","Phoenix-Mesa-Chandler, AZ Metro Area!!Occupied housing units!!Estimate","Phoenix-Mesa-Chandler, AZ Metro Area!!Percent occupied housing units!!Estimate","Phoenix-Mesa-Chandler, AZ Metro Area!!Owner-occupied housing units!!Estimate","Phoenix-Mesa-Chandler, AZ Metro Area!!Percent owner-occupied housing units!!Estimate","Phoenix-Mesa-Chandler, AZ Metro Area!!Renter-occupied housing units!!Estimate","Phoenix-Mesa-Chandler, AZ Metro Area!!Percent renter-occupied housing units!!Estimate","Portland-Vancouver-Hillsboro, OR-WA Metro Area!!Occupied housing units!!Estimate","Portland-Vancouver-Hillsboro, OR-WA Metro Area!!Percent occupied housing units!!Estimate","Portland-Vancouver-Hillsboro, OR-WA Metro Area!!Owner-occupied housing units!!Estimate","Portland-Vancouver-Hillsboro, OR-WA Metro Area!!Percent owner-occupied housing units!!Estimate","Portland-Vancouver-Hillsboro, OR-WA Metro Area!!Renter-occupied housing units!!Estimate","Portland-Vancouver-Hillsboro, OR-WA Metro Area!!Percent renter-occupied housing units!!Estimate","Raleigh-Cary, NC Metro Area!!Occupied housing units!!Estimate","Raleigh-Cary, NC Metro Area!!Percent occupied housing units!!Estimate","Raleigh-Cary, NC Metro Area!!Owner-occupied housing units!!Estimate","Raleigh-Cary, NC Metro Area!!Percent owner-occupied housing units!!Estimate","Raleigh-Cary, NC Metro Area!!Renter-occupied housing units!!Estimate","Raleigh-Cary, NC Metro Area!!Percent renter-occupied housing units!!Estimate","St. Louis, MO-IL Metro Area!!Occupied housing units!!Estimate","St. Louis, MO-IL Metro Area!!Percent occupied housing units!!Estimate","St. Louis, MO-IL Metro Area!!Owner-occupied housing units!!Estimate","St. Louis, MO-IL Metro Area!!Percent owner-occupied housing units!!Estimate","St. Louis, MO-IL Metro Area!!Renter-occupied housing units!!Estimate","St. Louis, MO-IL Metro Area!!Percent renter-occupied housing units!!Estimate","San Antonio-New Braunfels, TX Metro Area!!Occupied housing units!!Estimate","San Antonio-New Braunfels, TX Metro Area!!Percent occupied housing units!!Estimate","San Antonio-New Braunfels, TX Metro Area!!Owner-occupied housing units!!Estimate","San Antonio-New Braunfels, TX Metro Area!!Percent owner-occupied housing units!!Estimate","San Antonio-New Braunfels, TX Metro Area!!Renter-occupied housing units!!Estimate","San Antonio-New Braunfels, TX Metro Area!!Percent renter-occupied housing units!!Estimate","Seattle-Tacoma-Bellevue, WA Metro Area!!Occupied housing units!!Estimate","Seattle-Tacoma-Bellevue, WA Metro Area!!Percent occupied housing units!!Estimate","Seattle-Tacoma-Bellevue, WA Metro Area!!Owner-occupied housing units!!Estimate","Seattle-Tacoma-Bellevue, WA Metro Area!!Percent owner-occupied housing units!!Estimate","Seattle-Tacoma-Bellevue, WA Metro Area!!Renter-occupied housing units!!Estimate","Seattle-Tacoma-Bellevue, WA Metro Area!!Percent renter-occupied housing units!!Estimate","Tampa-St. Petersburg-Clearwater, FL Metro Area!!Occupied housing units!!Estimate","Tampa-St. Petersburg-Clearwater, FL Metro Area!!Percent occupied housing units!!Estimate","Tampa-St. Petersburg-Clearwater, FL Metro Area!!Owner-occupied housing units!!Estimate","Tampa-St. Petersburg-Clearwater, FL Metro Area!!Percent owner-occupied housing units!!Estimate","Tampa-St. Petersburg-Clearwater, FL Metro Area!!Renter-occupied housing units!!Estimate","Tampa-St. Petersburg-Clearwater, FL Metro Area!!Percent renter-occupied housing units!!Estimate"
"        2020 or later","101,450","4.3%","67,792","4.3%","33,658","4.4%","95,874","9.3%","63,066","10.5%","32,808","7.6%","17,160","1.5%","11,875","1.6%","5,285","1.4%","61,487","5.6%","41,470","5.7%","20,017","5.2%","194,448","6.6%","133,507","7.5%","60,941","5.1%","55,596","4.5%","31,307","4.0%","24,289","5.3%","151,748","5.6%","108,533","6.5%","43,215","4.1%","54,253","7.8%","42,263","9.1%","11,990","5.2%","54,233","2.3%","26,291","1.8%","27,942","3.1%","51,652","3.4%","27,480","2.6%","24,172","5.4%","59,478","6.9%","39,000","7.0%","20,478","6.8%","50,720","4.7%","34,740","5.2%","15,980","4.0%","90,375","4.7%","62,200","4.8%","28,175","4.4%","34,689","3.4%","19,747","3.1%","14,942","3.8%","43,324","7.2%","31,434","7.9%","11,890","5.9%","23,107","2.0%","16,127","1.9%","6,980","2.0%","73,836","7.5%","55,721","8.8%","18,115","5.1%","51,195","3.1%","25,291","2.6%","25,904","4.0%","59,282","4.4%","41,757","4.5%","17,525","4.0%"
"        2010 to 2019","297,907","12.7%","178,034","11.3%","119,873","15.5%","272,892","26.3%","146,938","24.4%","125,954","29.0%","88,727","7.9%","49,789","6.6%","38,938","10.5%","203,821","18.5%","115,943","16.1%","87,878","23.0%","530,213","17.9%","289,668","16.4%","240,545","20.2%","167,326","13.4%","79,438","10.1%","87,888","19.1%","534,918","19.6%","326,918","19.5%","208,000","19.7%","100,829","14.5%","70,183","15.2%","30,646","13.3%","190,592","8.1%","81,739","5.6%","108,853","12.1%","141,851","9.4%","78,530","7.4%","63,321","14.2%","159,750","18.5%","96,932","17.3%","62,818","20.8%","178,206","16.6%","94,840","14.2%","83,366","20.7%","256,025","13.3%","160,063","12.4%","95,962","15.1%","125,216","12.2%","57,960","9.1%","67,256","17.3%","132,677","22.1%","79,836","20.1%","52,841","26.0%","82,506","7.0%","52,790","6.3%","29,716","8.7%","181,929","18.4%","112,174","17.7%","69,755","19.8%","215,710","13.3%","91,230","9.4%","124,480","19.0%","152,445","11.2%","91,085","9.9%","61,360","14.1%"
"        2000 to 2009","566,216","24.2%","402,429","25.6%","163,787","21.2%","207,925","20.1%","127,647","21.2%","80,278","18.5%","114,780","10.2%","81,343","10.8%","33,437","9.0%","238,261","21.6%","167,385","23.2%","70,876","18.6%","561,354","19.0%","351,412","19.9%","209,942","17.6%","191,528","15.4%","128,999","16.4%","62,529","13.6%","548,351","20.1%","358,004","21.3%","190,347","18.1%","139,093","20.1%","100,830","21.8%","38,263","16.6%","326,753","13.9%","200,177","13.8%","126,576","14.1%","205,867","13.7%","156,755","14.9%","49,112","11.0%","155,119","18.0%","111,345","19.8%","43,774","14.5%","233,622","21.8%","152,307","22.7%","81,315","20.1%","462,246","24.0%","330,307","25.7%","131,939","20.7%","149,303","14.5%","95,673","15.0%","53,630","13.8%","144,644","24.1%","101,601","25.6%","43,043","21.2%","142,004","12.0%","110,623","13.2%","31,381","9.2%","183,340","18.6%","121,108","19.1%","62,232","17.7%","237,036","14.6%","148,930","15.3%","88,106","13.5%","227,533","16.7%","158,535","17.2%","68,998","15.8%"
"        1980 to 1999","801,028","34.2%","556,015","35.4%","245,013","31.8%","270,857","26.1%","152,741","25.4%","118,116","27.2%","307,202","27.3%","216,203","28.6%","90,999","24.5%","297,520","27.0%","202,656","28.1%","94,864","24.8%","836,368","28.3%","472,234","26.7%","364,134","30.6%","333,023","26.8%","224,515","28.6%","108,508","23.6%","700,066","25.6%","417,001","24.9%","283,065","26.9%","199,659","28.8%","130,864","28.3%","68,795","29.8%","745,868","31.7%","497,460","34.3%","248,408","27.7%","399,241","26.6%","297,155","28.2%","102,086","22.8%","226,930","26.3%","148,726","26.5%","78,204","25.9%","367,952","34.3%","231,070","34.5%","136,882","33.9%","606,731","31.6%","405,962","31.6%","200,769","31.5%","270,370","26.3%","168,488","26.4%","101,882","26.2%","176,708","29.4%","118,445","29.8%","58,263","28.7%","276,008","23.4%","203,611","24.3%","72,397","21.1%","240,281","24.3%","148,607","23.4%","91,674","26.0%","430,826","26.5%","261,034","26.8%","169,792","26.0%","418,238","30.8%","285,474","31.0%","132,764","30.4%"
"        1960 to 1979","384,948","16.4%","240,387","15.3%","144,561","18.8%","127,930","12.3%","71,863","11.9%","56,067","12.9%","262,161","23.3%","162,719","21.5%","99,442","26.8%","177,683","16.1%","116,214","16.1%","61,469","16.1%","527,838","17.8%","313,460","17.7%","214,378","18.0%","295,651","23.7%","185,360","23.6%","110,291","24.0%","554,345","20.3%","315,909","18.8%","238,436","22.6%","118,074","17.0%","68,338","14.8%","49,736","21.5%","708,725","30.2%","437,142","30.1%","271,583","30.3%","324,074","21.6%","209,974","19.9%","114,100","25.5%","158,892","18.4%","96,644","17.2%","62,248","20.6%","171,137","15.9%","106,799","15.9%","64,338","15.9%","377,672","19.6%","245,716","19.1%","131,956","20.7%","233,641","22.7%","146,441","22.9%","87,200","22.4%","69,941","11.7%","45,853","11.5%","24,088","11.9%","279,211","23.7%","192,899","23.0%","86,312","25.2%","182,329","18.5%","112,765","17.8%","69,564","19.7%","362,859","22.3%","221,131","22.7%","141,728","21.7%","342,381","25.2%","234,690","25.4%","107,691","24.7%"
"        1940 to 1959","122,298","5.2%","81,224","5.2%","41,074","5.3%","42,095","4.1%","27,587","4.6%","14,508","3.3%","191,081","17.0%","136,475","18.1%","54,606","14.7%","82,154","7.4%","52,725","7.3%","29,429","7.7%","239,336","8.1%","164,835","9.3%","74,501","6.3%","127,001","10.2%","86,192","11.0%","40,809","8.9%","186,156","6.8%","120,509","7.2%","65,647","6.2%","59,683","8.6%","38,490","8.3%","21,193","9.2%","278,769","11.9%","185,913","12.8%","92,856","10.3%","186,019","12.4%","149,732","14.2%","36,287","8.1%","68,592","7.9%","47,122","8.4%","21,470","7.1%","57,278","5.3%","41,898","6.3%","15,380","3.8%","109,895","5.7%","71,947","5.6%","37,948","6.0%","106,357","10.3%","76,401","12.0%","29,956","7.7%","22,225","3.7%","13,778","3.5%","8,447","4.2%","199,741","16.9%","145,903","17.4%","53,838","15.7%","90,170","9.1%","60,793","9.6%","29,377","8.3%","174,820","10.7%","125,337","12.9%","49,483","7.6%","129,370","9.5%","93,192","10.1%","36,178","8.3%"
"        1939 or earlier","67,436","2.9%","44,457","2.8%","22,979","3.0%","18,501","1.8%","12,350","2.1%","6,151","1.4%","146,209","13.0%","97,336","12.9%","48,873","13.2%","42,434","3.8%","25,039","3.5%","17,395","4.6%","69,828","2.4%","44,497","2.5%","25,331","2.1%","74,770","6.0%","49,669","6.3%","25,101","5.5%","56,259","2.1%","30,817","1.8%","25,442","2.4%","21,490","3.1%","11,238","2.4%","10,252","4.4%","44,980","1.9%","23,407","1.6%","21,573","2.4%","192,749","12.8%","134,818","12.8%","57,931","13.0%","34,703","4.0%","21,241","3.8%","13,462","4.5%","14,747","1.4%","8,426","1.3%","6,321","1.6%","19,124","1.0%","9,495","0.7%","9,629","1.5%","109,075","10.6%","74,440","11.6%","34,635","8.9%","10,787","1.8%","6,419","1.6%","4,368","2.2%","177,307","15.0%","115,529","13.8%","61,778","18.0%","35,076","3.6%","23,239","3.7%","11,837","3.4%","155,247","9.5%","101,170","10.4%","54,077","8.3%","29,539","2.2%","17,618","1.9%","11,921","2.7%"
"    ROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        1 room","40,420","1.7%","3,417","0.2%","37,003","4.8%","30,989","3.0%","3,813","0.6%","27,176","6.3%","20,101","1.8%","1,855","0.2%","18,246","4.9%","17,506","1.6%","1,719","0.2%","15,787","4.1%","83,144","2.8%","5,704","0.3%","77,440","6.5%","33,917","2.7%","2,810","0.4%","31,107","6.8%","93,210","3.4%","7,715","0.5%","85,495","8.1%","11,044","1.6%","1,792","0.4%","9,252","4.0%","78,633","3.3%","14,409","1.0%","64,224","7.2%","36,492","2.4%","1,422","0.1%","35,070","7.8%","16,439","1.9%","1,558","0.3%","14,881","4.9%","21,662","2.0%","1,576","0.2%","20,086","5.0%","47,775","2.5%","5,270","0.4%","42,505","6.7%","39,108","3.8%","2,771","0.4%","36,337","9.3%","9,125","1.5%","788","0.2%","8,337","4.1%","15,810","1.3%","2,149","0.3%","13,661","4.0%","28,475","2.9%","3,230","0.5%","25,245","7.2%","78,038","4.8%","5,832","0.6%","72,206","11.0%","29,776","2.2%","2,831","0.3%","26,945","6.2%"
"        2 or 3 rooms","224,155","9.6%","37,725","2.4%","186,430","24.2%","188,741","18.2%","20,278","3.4%","168,463","38.8%","107,964","9.6%","14,055","1.9%","93,909","25.3%","104,977","9.5%","14,776","2.0%","90,201","23.6%","441,621","14.9%","40,820","2.3%","400,801","33.7%","204,567","16.4%","32,802","4.2%","171,765","37.4%","379,214","13.9%","43,084","2.6%","336,130","31.9%","64,960","9.4%","10,237","2.2%","54,723","23.7%","419,751","17.9%","131,690","9.1%","288,061","32.1%","200,827","13.4%","34,718","3.3%","166,109","37.2%","102,453","11.9%","14,271","2.5%","88,182","29.2%","134,598","12.5%","24,964","3.7%","109,634","27.2%","246,831","12.8%","58,340","4.5%","188,491","29.6%","156,288","15.2%","23,406","3.7%","132,882","34.1%","64,478","10.7%","5,590","1.4%","58,888","29.0%","106,889","9.1%","18,871","2.3%","88,018","25.7%","124,353","12.6%","16,839","2.7%","107,514","30.5%","274,597","16.9%","48,497","5.0%","226,100","34.6%","167,936","12.4%","47,593","5.2%","120,343","27.6%"
"        4 or 5 rooms","650,756","27.8%","316,463","20.2%","334,293","43.4%","333,284","32.2%","174,917","29.0%","158,367","36.5%","278,642","24.7%","126,790","16.8%","151,852","40.9%","364,954","33.1%","183,197","25.4%","181,757","47.6%","921,614","31.1%","445,522","25.2%","476,092","40.0%","343,576","27.6%","171,695","21.9%","171,881","37.4%","841,633","30.8%","419,360","25.0%","422,273","40.1%","226,678","32.7%","122,916","26.6%","103,762","44.9%","1,016,865","43.3%","596,295","41.1%","420,570","46.8%","380,745","25.4%","213,718","20.3%","167,027","37.4%","268,995","31.2%","138,474","24.7%","130,521","43.2%","364,609","34.0%","190,610","28.4%","173,999","43.1%","654,802","34.1%","398,100","31.0%","256,702","40.3%","332,950","32.4%","175,298","27.4%","157,652","40.5%","170,156","28.3%","82,482","20.8%","87,674","43.2%","398,860","33.8%","241,033","28.8%","157,827","46.1%","330,082","33.4%","190,211","30.0%","139,871","39.7%","492,339","30.2%","253,083","26.0%","239,256","36.6%","519,815","38.3%","329,680","35.7%","190,135","43.6%"
"        6 or 7 rooms","658,905","28.1%","516,772","32.9%","142,133","18.4%","280,781","27.1%","222,587","37.0%","58,194","13.4%","349,005","31.0%","269,162","35.6%","79,843","21.5%","314,291","28.5%","243,372","33.7%","70,919","18.6%","814,360","27.5%","646,760","36.5%","167,600","14.1%","289,376","23.2%","237,978","30.3%","51,398","11.2%","773,845","28.3%","613,857","36.6%","159,988","15.2%","232,431","33.5%","183,022","39.6%","49,409","21.4%","582,497","24.8%","480,293","33.1%","102,204","11.4%","381,010","25.4%","327,479","31.1%","53,531","12.0%","256,484","29.7%","204,466","36.4%","52,018","17.2%","331,577","30.9%","254,045","37.9%","77,532","19.2%","593,029","30.9%","486,348","37.8%","106,681","16.8%","275,315","26.8%","231,890","36.3%","43,425","11.1%","171,687","28.6%","133,735","33.7%","37,952","18.7%","359,524","30.5%","299,264","35.7%","60,260","17.6%","300,057","30.4%","241,542","38.1%","58,515","16.6%","408,741","25.1%","330,480","33.9%","78,261","12.0%","406,673","29.9%","330,193","35.8%","76,480","17.5%"
"        8 or more rooms","767,047","32.8%","695,961","44.3%","71,086","9.2%","202,279","19.5%","180,597","30.0%","21,682","5.0%","371,608","33.0%","343,878","45.5%","27,730","7.5%","301,632","27.3%","278,368","38.6%","23,264","6.1%","698,646","23.6%","630,807","35.6%","67,839","5.7%","373,459","30.0%","340,195","43.3%","33,264","7.2%","643,941","23.6%","593,675","35.4%","50,266","4.8%","157,968","22.8%","144,239","31.2%","13,729","5.9%","252,174","10.7%","229,442","15.8%","22,732","2.5%","502,379","33.5%","477,107","45.2%","25,272","5.7%","219,093","25.4%","202,241","36.0%","16,852","5.6%","221,216","20.6%","198,885","29.7%","22,331","5.5%","379,631","19.8%","337,632","26.3%","41,999","6.6%","224,990","21.9%","205,785","32.2%","19,205","4.9%","184,860","30.8%","174,771","44.0%","10,089","5.0%","298,801","25.3%","276,165","33.0%","22,636","6.6%","203,994","20.7%","182,585","28.8%","21,409","6.1%","373,978","23.0%","336,231","34.5%","37,747","5.8%","234,588","17.3%","212,054","23.0%","22,534","5.2%"
"    BEDROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        No bedroom","45,095","1.9%","5,450","0.3%","39,645","5.1%","35,376","3.4%","4,332","0.7%","31,044","7.2%","23,569","2.1%","3,073","0.4%","20,496","5.5%","19,610","1.8%","2,542","0.4%","17,068","4.5%","91,263","3.1%","9,746","0.6%","81,517","6.9%","37,176","3.0%","3,087","0.4%","34,089","7.4%","100,904","3.7%","12,140","0.7%","88,764","8.4%","12,142","1.8%","2,061","0.4%","10,081","4.4%","86,192","3.7%","17,509","1.2%","68,683","7.7%","42,814","2.9%","2,172","0.2%","40,642","9.1%","18,917","2.2%","2,559","0.5%","16,358","5.4%","23,988","2.2%","3,465","0.5%","20,523","5.1%","55,895","2.9%","9,401","0.7%","46,494","7.3%","45,117","4.4%","3,487","0.5%","41,630","10.7%","9,701","1.6%","1,152","0.3%","8,549","4.2%","16,899","1.4%","2,691","0.3%","14,208","4.1%","30,564","3.1%","4,197","0.7%","26,367","7.5%","89,263","5.5%","6,936","0.7%","82,327","12.6%","31,672","2.3%","3,542","0.4%","28,130","6.4%"
"        1 bedroom","189,925","8.1%","21,190","1.3%","168,735","21.9%","164,412","15.9%","12,301","2.0%","152,111","35.1%","113,404","10.1%","10,921","1.4%","102,483","27.6%","87,455","7.9%","7,219","1.0%","80,236","21.0%","416,456","14.1%","21,543","1.2%","394,913","33.2%","171,036","13.7%","19,311","2.5%","151,725","33.0%","354,753","13.0%","24,104","1.4%","330,649","31.4%","51,692","7.5%","5,015","1.1%","46,677","20.2%","312,671","13.3%","75,640","5.2%","237,031","26.4%","187,057","12.5%","28,073","2.7%","158,984","35.6%","84,298","9.8%","7,069","1.3%","77,229","25.5%","99,712","9.3%","12,211","1.8%","87,501","21.7%","188,986","9.8%","30,901","2.4%","158,085","24.8%","115,424","11.2%","13,370","2.1%","102,054","26.2%","45,442","7.6%","3,225","0.8%","42,217","20.8%","109,938","9.3%","19,997","2.4%","89,941","26.3%","117,031","11.9%","11,933","1.9%","105,098","29.8%","221,737","13.6%","30,868","3.2%","190,869","29.2%","142,778","10.5%","31,575","3.4%","111,203","25.5%"
"        2 or 3 bedrooms","1,261,877","53.9%","781,379","49.8%","480,498","62.3%","554,556","53.5%","336,766","55.9%","217,790","50.2%","663,688","58.9%","442,867","58.6%","220,821","59.4%","693,410","62.8%","439,597","60.9%","253,813","66.5%","1,592,743","53.8%","967,770","54.7%","624,973","52.5%","658,752","52.9%","419,805","53.4%","238,947","52.0%","1,454,219","53.2%","891,046","53.1%","563,173","53.4%","448,895","64.8%","294,624","63.7%","154,271","66.8%","1,561,008","66.4%","1,010,263","69.6%","550,745","61.3%","808,071","53.8%","586,755","55.6%","221,316","49.5%","561,000","65.0%","371,755","66.3%","189,245","62.6%","653,695","60.9%","392,989","58.6%","260,706","64.6%","1,121,980","58.4%","758,874","59.0%","363,106","57.1%","629,918","61.2%","407,051","63.7%","222,867","57.2%","361,089","60.2%","225,306","56.7%","135,783","66.9%","774,731","65.7%","558,618","66.7%","216,113","63.1%","584,214","59.2%","392,830","61.9%","191,384","54.3%","906,475","55.7%","572,536","58.8%","333,939","51.1%","901,938","66.4%","634,155","68.8%","267,783","61.4%"
"        4 or more bedrooms","844,386","36.1%","762,319","48.5%","82,067","10.6%","281,730","27.2%","248,793","41.3%","32,937","7.6%","326,659","29.0%","298,879","39.5%","27,780","7.5%","302,885","27.5%","272,074","37.7%","30,811","8.1%","858,923","29.0%","770,554","43.5%","88,369","7.4%","377,931","30.4%","343,277","43.7%","34,654","7.5%","821,967","30.1%","750,401","44.7%","71,566","6.8%","180,352","26.0%","160,506","34.7%","19,846","8.6%","390,049","16.6%","348,717","24.0%","41,332","4.6%","463,511","30.9%","437,444","41.5%","26,067","5.8%","199,249","23.1%","179,627","32.0%","19,622","6.5%","296,267","27.6%","261,415","39.0%","34,852","8.6%","555,207","28.9%","486,514","37.8%","68,693","10.8%","238,192","23.2%","215,242","33.7%","22,950","5.9%","184,074","30.7%","167,683","42.2%","16,391","8.1%","278,316","23.6%","256,176","30.6%","22,140","6.5%","255,152","25.9%","225,447","35.5%","29,705","8.4%","410,218","25.2%","363,783","37.3%","46,435","7.1%","282,400","20.8%","253,079","27.4%","29,321","6.7%"
"    COMPLETE FACILITIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
